0 0
0 60
25 60
50 60
75 60
100 60
125 60
150 60
175 60
0 70
25 70
50 70
75 70
100 70
125 70
150 70
175 70
0 80
25 80
50 80
75 80
100 80
125 80
150 80
175 80
0 90
25 90
50 90
75 90
100 90
125 90
150 90
175 90
0 100
25 100
50 100
75 100
125 100
150 100
175 100
0 110
25 110
50 110
75 110
125 110
150 110
175 110
0 120
25 120
50 120
75 120
125 120
150 120
175 120
0 130
25 130
50 130
75 130
125 130
150 130
175 130
0 140
25 140
50 140
75 140
125 140
150 140
175 140
0 150
25 150
50 150
75 150
125 150
150 150
175 150
