0 0
25 0
50 0
75 0
100 0
125 0
150 0
25 10
50 10
75 10
100 10
125 10
150 10
25 20
50 20
75 20
100 20
125 20
150 20
25 30
50 30
75 30
100 30
125 30
150 30
25 40
50 40
75 40
100 40
125 40
150 40
0 50
25 50
50 50
75 50
100 50
125 50
150 50
175 50
0 60
25 60
50 60
75 60
100 60
125 60
150 60
175 60
0 70
25 70
50 70
75 70
100 70
125 70
150 70
175 70
0 80
25 80
50 80
75 80
100 80
125 80
150 80
175 80
0 90
25 90
50 90
75 90
100 90
125 90
150 90
175 90
0 100
25 100
50 100
75 100
125 100
150 100
175 100
0 110
25 110
50 110
75 110
125 110
150 110
175 110
0 120
25 120
50 120
75 120
125 120
150 120
175 120
0 130
25 130
50 130
75 130
125 130
150 130
175 130
0 140
25 140
50 140
75 140
125 140
150 140
175 140
0 150
25 150
50 150
75 150
125 150
150 150
175 150
0 160
25 160
50 160
75 160
125 160
150 160
175 160
0 170
25 170
50 170
75 170
125 170
150 170
175 170
0 180
25 180
50 180
75 180
125 180
150 180
175 180
0 190
25 190
50 190
75 190
125 190
150 190
175 190
0 200
25 200
50 200
75 200
125 200
150 200
175 200
0 210
25 210
50 210
75 210
125 210
150 210
175 210
0 220
25 220
50 220
75 220
125 220
150 220
175 220
0 230
25 230
50 230
75 230
125 230
150 230
175 230
0 240
25 240
50 240
75 240
125 240
150 240
175 240
0 250
25 250
50 250
75 250
125 250
150 250
175 250
